year,term_name,longitude_degree,started_at,timezone,calendar_system,source_title,source_url,source_rank,adopted,precision_level,source_accessed_on,source_citation_text,verification_status,note
1980,清明,15,"1980-04-05 00:15:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,穀雨,30,"1980-04-20 07:23:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,立夏,45,"1980-05-05 17:45:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,小満,60,"1980-05-21 06:42:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,芒種,75,"1980-06-05 22:04:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,夏至,90,"1980-06-21 14:47:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,小暑,105,"1980-07-07 08:24:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,大暑,120,"1980-07-23 01:42:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,立秋,135,"1980-08-07 18:09:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,処暑,150,"1980-08-23 08:41:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,白露,165,"1980-09-07 20:54:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,秋分,180,"1980-09-23 06:09:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,寒露,195,"1980-10-08 12:20:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,霜降,210,"1980-10-23 15:18:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,立冬,225,"1980-11-07 15:19:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,小雪,240,"1980-11-22 12:42:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,大雪,255,"1980-12-07 08:02:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
1980,冬至,270,"1980-12-22 01:56:00",Asia/Tokyo,modern_astronomical,"昭和55年（1980）暦要項 二十四節気",https://eco.mtk.nao.ac.jp/koyomi/yoko/pdf/yoko1980.pdf,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,小寒,285,"2026-01-05 17:23:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,大寒,300,"2026-01-20 10:45:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,立春,315,"2026-02-04 05:02:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,雨水,330,"2026-02-19 00:52:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,啓蟄,345,"2026-03-05 22:59:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,春分,0,"2026-03-20 23:46:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,清明,15,"2026-04-05 03:40:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,穀雨,30,"2026-04-20 10:39:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,立夏,45,"2026-05-05 20:49:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,小満,60,"2026-05-21 09:37:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,芒種,75,"2026-06-06 00:48:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,夏至,90,"2026-06-21 17:25:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,小暑,105,"2026-07-07 10:57:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,大暑,120,"2026-07-23 04:13:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,立秋,135,"2026-08-07 20:43:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,処暑,150,"2026-08-23 11:19:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,白露,165,"2026-09-07 23:41:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,秋分,180,"2026-09-23 09:05:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,寒露,195,"2026-10-08 15:29:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,霜降,210,"2026-10-23 18:38:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,立冬,225,"2026-11-07 18:52:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,小雪,240,"2026-11-22 16:23:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,大雪,255,"2026-12-07 11:53:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
2026,冬至,270,"2026-12-22 05:50:00",Asia/Tokyo,modern_astronomical,"令和8年（2026）暦要項 二十四節気および雑節",https://eco.mtk.nao.ac.jp/koyomi/yoko/2026/rekiyou262.html,S1,true,minute,2026-07-20,国立天文台ホームページより引用,verified,年次暦要項の中央標準時による公式値。
